borough,major_category,num_crime,year,month
Barking and Dagenham,Violence Against the Person,342,2010,11
Barking and Dagenham,Burglary,151,2010,12
Barking and Dagenham,Criminal Damage,150,2010,12
Barking and Dagenham,Drugs,37,2010,12
Barking and Dagenham,Fraud or Forgery,0,2010,12
Barking and Dagenham,Other Notifiable Offences,32,2010,12
Barking and Dagenham,Robbery,59,2010,12
Barking and Dagenham,Sexual Offences,0,2010,12
Barking and Dagenham,Theft and Handling,370,2010,12
Barking and Dagenham,Violence Against the Person,273,2010,12
Barking and Dagenham,Burglary,207,2011,1
Barking and Dagenham,Criminal Damage,175,2011,1
Barking and Dagenham,Drugs,64,2011,1
Barking and Dagenham,Fraud or Forgery,0,2011,1
Barking and Dagenham,Other Notifiable Offences,38,2011,1
Barking and Dagenham,Robbery,72,2011,1
Barking and Dagenham,Sexual Offences,0,2011,1
Barking and Dagenham,Theft and Handling,465,2011,1
Barking and Dagenham,Violence Against the Person,293,2011,1
Barking and Dagenham,Burglary,168,2011,2
Barking and Dagenham,Criminal Damage,174,2011,2
Barking and Dagenham,Drugs,52,2011,2
Barking and Dagenham,Fraud or Forgery,0,2011,2
Barking and Dagenham,Other Notifiable Offences,29,2011,2
Barking and Dagenham,Robbery,90,2011,2
Barking and Dagenham,Sexual Offences,0,2011,2
Barking and Dagenham,Theft and Handling,473,2011,2
Barking and Dagenham,Violence Against the Person,308,2011,2
Barking and Dagenham,Burglary,209,2011,3
Barking and Dagenham,Criminal Damage,188,2011,3
Barking and Dagenham,Drugs,71,2011,3
Barking and Dagenham,Fraud or Forgery,0,2011,3
Barking and Dagenham,Other Notifiable Offences,22,2011,3
Barking and Dagenham,Robbery,108,2011,3
Barking and Dagenham,Sexual Offences,0,2011,3
Barking and Dagenham,Theft and Handling,539,2011,3
Barking and Dagenham,Violence Against the Person,295,2011,3
Barking and Dagenham,Burglary,204,2011,4
Barking and Dagenham,Criminal Damage,199,2011,4
Barking and Dagenham,Drugs,80,2011,4
Barking and Dagenham,Fraud or Forgery,0,2011,4
Barking and Dagenham,Other Notifiable Offences,37,2011,4
Barking and Dagenham,Robbery,105,2011,4
Barking and Dagenham,Sexual Offences,0,2011,4
Barking and Dagenham,Theft and Handling,517,2011,4
Barking and Dagenham,Violence Against the Person,315,2011,4
Barking and Dagenham,Burglary,183,2011,5
Barking and Dagenham,Criminal Damage,195,2011,5
Barking and Dagenham,Drugs,95,2011,5
Barking and Dagenham,Fraud or Forgery,0,2011,5
Barking and Dagenham,Other Notifiable Offences,32,2011,5
Barking and Dagenham,Robbery,81,2011,5
Barking and Dagenham,Sexual Offences,0,2011,5
Barking and Dagenham,Theft and Handling,540,2011,5
Barking and Dagenham,Violence Against the Person,357,2011,5
Barking and Dagenham,Burglary,155,2011,6
Barking and Dagenham,Criminal Damage,182,2011,6
Barking and Dagenham,Drugs,94,2011,6
Barking and Dagenham,Fraud or Forgery,0,2011,6
Barking and Dagenham,Other Notifiable Offences,33,2011,6
Barking and Dagenham,Robbery,83,2011,6
Barking and Dagenham,Sexual Offences,0,2011,6
Barking and Dagenham,Theft and Handling,516,2011,6
Barking and Dagenham,Violence Against the Person,346,2011,6
Barking and Dagenham,Burglary,161,2011,7
Barking and Dagenham,Criminal Damage,154,2011,7
Barking and Dagenham,Drugs,72,2011,7
Barking and Dagenham,Fraud or Forgery,0,2011,7
Barking and Dagenham,Other Notifiable Offences,37,2011,7
Barking and Dagenham,Robbery,86,2011,7
Barking and Dagenham,Sexual Offences,0,2011,7
Barking and Dagenham,Theft and Handling,558,2011,7
Barking and Dagenham,Violence Against the Person,348,2011,7
Barking and Dagenham,Burglary,188,2011,8
Barking and Dagenham,Criminal Damage,194,2011,8
Barking and Dagenham,Drugs,114,2011,8
Barking and Dagenham,Fraud or Forgery,0,2011,8
Barking and Dagenham,Other Notifiable Offences,31,2011,8
Barking and Dagenham,Robbery,75,2011,8
Barking and Dagenham,Sexual Offences,0,2011,8
Barking and Dagenham,Theft and Handling,521,2011,8
Barking and Dagenham,Violence Against the Person,367,2011,8
